NIM,Tipe Sekolah,Gender,Kota Sekolah,Gaji Orang Tua,Keterangan Lulus,IPS_1,IPS_2,IPS_3,IPS_4
13.11.7342,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.58,3.83,3.92
13.11.7343,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.17,2.92,3.42,3.08
13.11.7344,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.75,3.5,3.67
13.11.7345,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,3.75,3.5,3.83
13.11.7347,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.25,3.58,3.67,3.42
13.11.7348,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.92,3.92,4
13.11.7350,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.58,3.5,3.67
13.11.7315,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,2.58,2.83,2.83
13.11.7268,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.83,3.58,3.67,3.33
13.11.7269,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.08,2.83,2.92,2.33
13.11.7308,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.58,4,3.5
13.11.7309,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.25,3.33,3.08
13.11.7330,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.92,3.75,3.83,3.83
13.11.7331,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3,3.58,3.42
13.11.7318,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.67,3.58,3.5,3.25
13.11.7323,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.42,3.58,3.42
13.11.7325,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.92,3.58,4,3.83
13.11.7394,Lain,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.42,3.75
13.11.7395,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.42,3.58,3.25,3.75
13.11.7396,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.75,3.58,3.58
13.11.7398,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.83,4,3.75
13.11.7399,Lain,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.75,3.58,3.67,3.75
13.11.7403,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.58,3.5,3.17,3.42
13.11.7406,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.75,3.92,3.67,3.75
13.11.7407,SMK,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.33,3.58,3.08,2.92
13.11.7408,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3,2.25,2.25,3.08
13.11.7412,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.33,3.17,3.08
13.11.7413,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.67,3.58,3.58,3.25
13.11.7414,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.25,3.42,3.08,3
13.11.7415,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.5,3.33,3.08,3.08
13.11.7416,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.5,3.5,3.58,3.33
13.11.7417,Lain,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.92,3.92,3.58
13.11.7419,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.5,3.33,3.25
13.11.7431,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.33,3.58,3.08,3.08
13.11.7432,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.5,3,3.33
13.11.7433,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.67,3.33,3.08
13.11.7434,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.5,3.33,3.42
13.11.7423,SMK,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.67,3.25,3.67,3.25
13.11.7390,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.42,3.67,3.25
13.11.7391,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.83,4,3.92,3.75
13.11.7369,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.42,3.5,3.5
13.11.7371,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.83,3.92,3.67
13.11.7375,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.67,3.33
13.11.7376,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.17,3.5,3.5
13.11.7377,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.67,3.83,3.67,4
13.11.7378,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.42,3.67,3.83
13.11.7379,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.25,3.5,3.58
13.11.7380,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.08,3
13.11.7382,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.17,3.67,3.58
13.11.7384,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.67,3.5,3.58
13.11.7385,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.17,3.08,3.17
13.11.7386,SMA,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.67,3.67,3.5,3.58
13.11.7516,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.25,2.92,3.25
13.11.7436,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.67,3.67,3.58
